Line,Section,Block Number,Block Length (m),Block Grade (%),Speed Limit (Km/Hr),Infrastructure,ELEVATION (M),CUMALTIVE ELEVATION (M),Train 1 Arrival Time at Station,Train 2 Arrival Time at Station,Train 3 Arrival Time at Station,Train 4 Arrival Time at Station,Train 5 Arrival Time at Station,Train 6 Arrival Time at Station,Train 7 Arrival Time at Station,Train 8 Arrival Time at Station,Train 9 Arrival Time at Station,Train 10 Arrival Time at Station
Green,F,28,50,0,70,,0,0,,,,,,,,,,
Green,G,29,50,0,70,SWITCH,0,0,,,,,,,,,,
Green,G,30,50,0,70,,0,0,,,,,,,,,,
Green,G,31,50,0,70,STATION; SOUTH BANK,0,0,12:16,12:46,13:16,13:46,14:16,14:46,15:16,15:46,16:16,16:46
Green,G,32,50,0,70,,0,0,,,,,,,,,,
Green,H,33,50,0,70,,0,0,,,,,,,,,,
Green,H,34,50,0,70,,0,0,,,,,,,,,,
Green,H,35,50,0,70,,0,0,,,,,,,,,,
Green,I,36,50,0,70,UNDERGROUND,0,0,,,,,,,,,,
Green,I,37,50,0,70,UNDERGROUND,0,0,,,,,,,,,,
Green,I,38,50,0,70,UNDERGROUND,0,0,,,,,,,,,,
Green,I,39,50,0,70,STATION; CENTRAL; UNDERDROUND,0,0,12:19,12:49,13:19,13:49,14:19,14:49,15:19,15:49,16:19,16:49
Green,I,40,50,0,70,UNDERGROUND,0,0,,,,,,,,,,
Green,I,41,50,0,70,UNDERGROUND,0,0,,,,,,,,,,
Green,I,42,50,0,70,UNDERGROUND,0,0,,,,,,,,,,
Green,I,43,50,0,70,UNDERGROUND,0,0,,,,,,,,,,
Green,I,44,50,0,70,UNDERGROUND,0,0,,,,,,,,,,
Green,I,45,50,0,70,UNDERGROUND,0,0,,,,,,,,,,
Green,I,46,50,0,70,UNDERGROUND,0,0,,,,,,,,,,
Green,I,47,50,0,70,UNDERGROUND,0,0,,,,,,,,,,
Green,I,48,50,0,70,STATION; INGLEWOOD; UNDERGROUND,0,0,12:21,12:51,13:21,13:51,14:21,14:51,15:21,15:51,16:21,16:51
Green,I,49,50,0,70,UNDERGROUND,0,0,,,,,,,,,,
Green,I,50,50,0,70,UNDERGROUND,0,0,,,,,,,,,,
Green,I,51,50,0,70,UNDERGROUND,0,0,,,,,,,,,,
Green,I,52,50,0,70,UNDERGROUND,0,0,,,,,,,,,,
Green,I,53,50,0,70,UNDERGROUND,0,0,,,,,,,,,,
Green,I,54,50,0,70,UNDERGROUND,0,0,,,,,,,,,,
Green,I,55,50,0,70,UNDERGROUND,0,0,,,,,,,,,,
Green,I,56,50,0,70,UNDERGROUND,0,0,,,,,,,,,,
Green,I,57,50,0,70,STATION; OVERBROOK; UNDERGROUND,0,0,12:24,12:54,13:24,13:54,14:24,14:54,15:24,15:54,16:24,16:54
Green,J,58,50,0,60,SWITCH TO YARD,0,0,,,,,,,,,,
Green,J,59,50,0,60,,0,0,,,,,,,,,,
Green,J,60,50,0,60,,0,0,,,,,,,,,,
Green,J,61,50,0,60,,0,0,,,,,,,,,,
Green,J,62,50,0,60,SWITCH FROM YARD,0,0,,,,,,,,,,
Green,K,63,100,0,70,,0,0,,,,,,,,,,
Green,K,64,100,0,70,,0,0,,,,,,,,,,
Green,K,65,200,0,70,STATION; GLENBURY,0,0,12:27,12:57,13:27,13:57,14:27,14:57,15:27,15:57,16:27,16:57
Green,K,66,200,0,70,,0,0,,,,,,,,,,
Green,K,67,100,0,70,,0,0,,,,,,,,,,
Green,K,68,100,0,70,,0,0,,,,,,,,,,
Green,L,69,100,0,60,,0,0,,,,,,,,,,
Green,L,70,100,0,60,,0,0,,,,,,,,,,
Green,L,71,100,0,60,,0,0,,,,,,,,,,
Green,L,72,100,0,60,,0,0,,,,,,,,,,
Green,L,73,100,0,60,STATION; DORMONT,0,0,12:31,13:01,13:31,14:01,14:31,15:01,15:31,16:01,16:31,17:01
Green,M,74,100,0,60,,0,0,,,,,,,,,,
Green,M,75,100,0,60,,0,0,,,,,,,,,,
Green,M,76,100,0,60,SWITCH,0,0,,,,,,,,,,
Green,N,77,300,0,70,STATION;         MT LEBANON,0,0,12:34,13:04,13:34,14:04,14:34,15:04,15:34,16:04,16:34,17:04
Green,N,78,300,0,70,,0,0,,,,,,,,,,
Green,N,79,300,0,70,,0,0,,,,,,,,,,
Green,N,80,300,0,70,,0,0,,,,,,,,,,
Green,N,81,300,0,70,,0,0,,,,,,,,,,
Green,N,82,300,0,70,,0,0,,,,,,,,,,
Green,N,83,300,0,70,,0,0,,,,,,,,,,
Green,N,84,300,0,70,,0,0,,,,,,,,,,
Green,N,85,300,0,70,,0,0,,,,,,,,,,
Green,O,86,100,0,55,SWITCH,0,0,,,,,,,,,,
Green,O,87,86.6,0,55,,0,0,,,,,,,,,,
Green,O,88,100,0,55,STATION; POPLAR,0,0,12:41,13:11,13:41,14:11,14:41,15:11,15:41,16:11,16:41,17:11
Green,P,89,75,-0.5,55,,-0.375,-0.375,,,,,,,,,,
Green,P,90,75,-1,55,,-0.75,-1.125,,,,,,,,,,
Green,P,91,75,-2,55,,-1.5,-2.625,,,,,,,,,,
Green,P,92,75,0,55,,0,-2.625,,,,,,,,,,
Green,P,93,75,2,55,,1.5,-1.125,,,,,,,,,,
Green,P,94,75,1,55,,0.75,-0.375,,,,,,,,,,
Green,P,95,75,0.5,55,,0.375,0,,,,,,,,,,
Green,P,96,75,0,55,STATION;   CASTLE SHANNON,0,0,12:44,13:14,13:44,14:14,14:44,15:14,15:44,16:14,16:44,17:14
Green,P,97,75,0,55,,0,0,,,,,,,,,,
Green,Q,98,75,0,55,,0,0,,,,,,,,,,
Green,Q,99,75,0,55,,0,0,,,,,,,,,,
Green,Q,100,75,0,55,,0,0,,,,,,,,,,
Green,R,101,15,0,55,,0,0,,,,,,,,,,
Green,S,102,100,0,60,,0,0,,,,,,,,,,
Green,S,103,100,0,60,,0,0,,,,,,,,,,
Green,S,104,80,0,60,,0,0,,,,,,,,,,
Green,T,105,100,0,60,STATION; DORMONT,0,0,12:48,13:18,13:48,14:18,14:48,15:18,15:48,16:18,16:48,17:18
Green,T,106,100,0,60,,0,0,,,,,,,,,,
Green,T,107,90,0,60,,0,0,,,,,,,,,,
Green,T,108,100,0,60,,0,0,,,,,,,,,,
Green,T,109,100,0,60,,0,0,,,,,,,,,,
Green,U,110,100,0,70,,0,0,,,,,,,,,,
Green,U,111,100,0,70,,0,0,,,,,,,,,,
Green,U,112,100,0,70,,0,0,,,,,,,,,,
Green,U,113,100,0,70,,0,0,12:51,13:21,13:51,14:21,14:51,15:21,15:51,16:21,16:51,17:21
Green,U,114,100,0,70,STATION; GLENBURY,0,0,,,,,,,,,,
Green,U,115,100,0,70,,0,0,,,,,,,,,,
Green,U,116,100,0,70,,0,0,,,,,,,,,,
Green,V,117,50,0,60,,0,0,,,,,,,,,,
Green,V,118,50,0,60,,0,0,,,,,,,,,,
Green,V,119,40,0,60,,0,0,,,,,,,,,,
Green,V,120,50,0,60,,0,0,,,,,,,,,,
Green,V,121,50,0,60,,0,0,,,,,,,,,,
Green,W,122,50,0,70,UNDERGROUND,0,0,,,,,,,,,,
Green,W,123,50,0,70,STATION; OVERBROOK; UNDERGROUND,0,0,12:54,13:24,13:54,14:24,14:54,15:24,15:54,16:24,16:54,17:24
Green,W,124,50,0,70,UNDERGROUND,0,0,,,,,,,,,,
Green,W,125,50,0,70,UNDERGROUND,0,0,,,,,,,,,,
Green,W,126,50,0,70,UNDERGROUND,0,0,,,,,,,,,,
Green,W,127,50,0,70,UNDERGROUND,0,0,,,,,,,,,,
Green,W,128,50,0,70,UNDERGROUND,0,0,,,,,,,,,,
Green,W,129,50,0,70,UNDERGROUND,0,0,,,,,,,,,,
Green,W,130,50,0,70,UNDERGROUND,0,0,,,,,,,,,,
Green,W,131,50,0,70,UNDERGROUND,0,0,,,,,,,,,,
Green,W,132,50,0,70,STATION; INGLEWOOD; UNDERGROUND,0,0,12:57,13:27,13:57,14:27,14:57,15:27,15:57,16:27,16:57,17:27
Green,W,133,50,0,70,UNDERGROUND,0,0,,,,,,,,,,
Green,W,134,50,0,70,UNDERGROUND,0,0,,,,,,,,,,
Green,W,135,50,0,70,UNDERGROUND,0,0,,,,,,,,,,
Green,W,136,50,0,70,UNDERGROUND,0,0,,,,,,,,,,
Green,W,137,50,0,70,UNDERGROUND,0,0,,,,,,,,,,
Green,W,138,50,0,70,UNDERGROUND,0,0,,,,,,,,,,
Green,W,139,50,0,70,UNDERGROUND,0,0,,,,,,,,,,
Green,W,140,50,0,70,UNDERGROUND,0,0,,,,,,,,,,
Green,W,141,50,0,70,STATION; CENTRAL; UNDERDROUND,0,0,13:30,14:00,14:30,15:00,15:30,16:00,16:30,17:00,17:30,18:00
Green,W,142,50,0,70,UNDERGROUND,0,0,,,,,,,,,,
Green,W,143,50,0,70,UNDERGROUND,0,0,,,,,,,,,,
Green,X,144,50,0,70,,0,0,,,,,,,,,,
Green,X,145,50,0,70,,0,0,,,,,,,,,,
Green,X,146,50,0,70,,0,0,,,,,,,,,,
Green,Y,147,50,0,70,,0,0,,,,,,,,,,
Green,Y,148,40,0,70,,0,0,,,,,,,,,,
Green,Y,149,40,0,70,,0,0,,,,,,,,,,
Green,Z,150,35,0,70,,0,0,,,,,,,,,,
